跃迁,角色5,角色4,光锥5,光锥4
1.0.上,希儿,虎克、佩拉、娜塔莎,于夜色中,鼹鼠党欢迎你、晚安与睡颜、一场术后对话
1.0.下,景元,停云、素裳、三月七,拂晓之前,与行星相会、唯有沉默、余生的第一天
1.1.上,银狼,丹恒、艾丝妲、希露瓦,雨一直下,点个关注吧！、记忆中的模样、别让世界静下来
1.1.下,罗刹,驭空、佩拉、青雀,棺的回响,晚安与睡颜、天才们的休憩、舞！舞！舞！
1.2.上,刃,阿兰、娜塔莎、素裳,到不了的彼岸,秘密誓心、同一种心情、论剑
1.2.下,卡芙卡,卢卡、桑博、希露瓦,只需等待,决心如汗珠般闪耀、猎物的视线、「我」的诞生
1.3.上,丹恒•饮月,驭空、艾丝妲、三月七,比阳光更明亮的,舞！舞！舞！、与行星相会、朗道的选择
1.3.下,符玄,玲可、虎克、佩拉,她已闭上双眼,此时恰好、在蓝天下、宇宙市场趋势
1.4.上,镜流,停云、青雀、桑博,此身为剑,记忆中的模样、别让世界静下来、猎物的视线
1.4.下,托帕&账账、希儿,桂乃芬、卢卡、素裳,烦恼着，幸福着、于夜色中,鼹鼠党欢迎你、决心如汗珠般闪耀、唯有沉默
1.5.上,藿藿,丹恒、阿兰、希露瓦,惊魂夜,同一种心情、点个关注吧！、宇宙市场趋势
1.5.下,银枝、银狼,寒鸦、玲可、艾丝妲,片刻，留在眼底、雨一直下,在蓝天下、一场术后对话、「我」的诞生
1.6.上,阮•梅、刃,雪衣、三月七、停云,镜中故我、到不了的彼岸,与行星相会、余生的第一天、秘密誓心
1.6.下,真理医生、卡芙卡,素裳、娜塔莎、虎克,纯粹思维的洗礼、只需等待,此时恰好、唯有沉默、朗道的选择
2.0.上,黑天鹅、丹恒•饮月,米沙、停云、桂乃芬,重塑时光之忆、比阳光更明亮的,铭记于心的约定、决心如汗珠般闪耀、舞！舞！舞！
2.0.下,花火、景元,桑博、青雀、寒鸦,游戏尘寰、拂晓之前,与行星相会、在蓝天下、天才们的休憩
